r,g,b,ordem,hex,completitionYear
185,127,38,93,#B97F26,1951
170,158,125,100,#AA9E7D,1951
218,218,198,110,#DADAC6,1951
30,27,20,119,#1E1B14,1951
39,57,102,40,#273966,1952
41,110,166,42,#296EA6,1952
131,172,191,46,#83ACBF,1952
172,67,22,78,#AC4316,1952
196,178,27,93,#C4B21B,1952
127,122,107,99,#7F7A6B,1952
178,163,139,100,#B2A38B,1952
98,84,57,101,#625439,1952
222,212,195,110,#DED4C3,1952
35,32,21,119,#232015,1952
246,244,35,5,#F6F423,1953
90,82,48,72,#5A5230,1953
113,116,82,75,#717452,1953
192,102,23,93,#C06617,1953
198,164,101,94,#C6A465,1953
148,148,123,99,#94947B,1953
97,125,147,107,#617D93,1953
190,178,159,108,#BEB29F,1953
225,220,193,110,#E1DCC1,1953
42,38,26,119,#2A261A,1953
237,236,225,1,#EDECE1,1954
33,147,187,48,#2193BB,1954
154,61,17,78,#9A3D11,1954
201,180,70,93,#C9B446,1954
101,92,82,98,#655C52,1954
56,60,51,104,#383C33,1954
139,138,133,107,#8B8A85,1954
205,202,190,109,#CDCABE,1954
164,172,173,114,#A4ACAD,1954
33,24,16,119,#211810,1954
236,234,223,1,#ECEADF,1955
177,80,27,18,#B1501B,1955
74,98,151,41,#4A6297,1955
208,176,105,88,#D0B069,1955
208,150,33,93,#D09621,1955
117,105,76,97,#75694C,1955
154,151,144,100,#9A9790,1955
81,58,32,104,#513A20,1955
209,201,179,109,#D1C9B3,1955
28,26,24,119,#1C1A18,1955
106,102,68,75,#6A6644,1956
135,63,19,78,#873F13,1956
192,104,38,93,#C06826,1956
221,169,68,93,#DDA944,1956
199,185,163,95,#C7B9A3,1956
151,148,108,99,#97946C,1956
71,54,32,104,#473620,1956
118,122,152,107,#767A98,1956
230,222,208,110,#E6DED0,1956
30,25,16,119,#1E1910,1956
172,42,18,20,#AC2A12,1957
207,182,36,93,#CFB624,1957
197,181,138,95,#C5B58A,1957
157,108,30,96,#9D6C1E,1957
142,137,115,99,#8E8973,1957
66,56,34,104,#423822,1957
87,100,92,106,#57645C,1957
220,217,200,110,#DCD9C8,1957
137,156,174,115,#899CAE,1957
23,22,11,119,#17160B,1957
143,69,24,78,#8F4518,1958
203,149,42,93,#CB952A,1958
196,182,142,95,#C4B68E,1958
140,113,69,96,#8C7145,1958
161,142,100,99,#A18E64,1958
73,79,65,104,#494F41,1958
78,42,27,104,#4E2A1B,1958
235,229,199,110,#EBE5C7,1958
100,118,130,116,#647682,1958
36,21,15,119,#24150F,1958
234,232,224,1,#EAE8E0,1959
20,135,172,54,#1487AC,1959
96,90,75,72,#605A4B,1959
149,63,22,78,#953F16,1959
187,116,59,93,#BB743B,1959
133,124,104,99,#857C68,1959
184,162,132,100,#B8A284,1959
79,63,38,104,#4F3F26,1959
188,194,191,109,#BCC2BF,1959
32,28,19,119,#201C13,1959
176,42,21,20,#B02A15,1960
66,102,156,41,#42669C,1960
221,187,159,84,#DDBB9F,1960
184,142,41,93,#B88E29,1960
130,131,96,99,#828360,1960
49,48,39,104,#313027,1960
75,83,75,104,#4B534B,1960
162,164,159,108,#A2A49F,1960
224,226,207,110,#E0E2CF,1960
20,15,12,119,#140F0C,1960
215,192,40,8,#D7C028,1961
189,93,54,18,#BD5D36,1961
16,120,160,51,#1078A0,1961
73,96,75,70,#49604B,1961
116,28,18,78,#741C12,1961
214,171,136,84,#D6AB88,1961
123,128,122,107,#7B807A,1961
231,223,201,110,#E7DFC9,1961
169,180,184,113,#A9B4B8,1961
30,38,24,119,#1E2618,1961
223,162,17,10,#DFA211,1962
182,48,21,18,#B63015,1962
210,167,78,88,#D2A74E,1962
141,116,64,96,#8D7440,1962
77,82,56,104,#4D5238,1962
78,45,26,104,#4E2D1A,1962
172,169,157,108,#ACA99D,1962
219,217,210,110,#DBD9D2,1962
102,108,139,116,#666C8B,1962
29,23,22,119,#1D1716,1962
98,118,73,75,#627649,1963
129,64,23,78,#814017,1963
208,172,40,93,#D0AC28,1963
187,169,104,94,#BBA968,1963
170,126,40,96,#AA7E28,1963
73,71,39,104,#494727,1963
126,143,134,107,#7E8F86,1963
227,220,211,110,#E3DCD3,1963
191,185,167,114,#BFB9A7,1963
33,28,17,119,#211C11,1963
179,75,64,18,#B34B40,1964
204,167,31,93,#CCA71F,1964
136,132,46,96,#88842E,1964
149,151,133,100,#959785,1964
65,60,41,104,#413C29,1964
214,217,212,110,#D6D9D4,1964
179,182,171,114,#B3B6AB,1964
106,122,115,116,#6A7A73,1964
86,90,79,117,#565A4F,1964
31,31,20,119,#1F1F14,1964
234,235,215,1,#EAEBD7,1965
80,134,154,44,#50869A,1965
86,140,30,68,#568C1E,1965
81,97,72,70,#516148,1965
128,156,126,76,#809C7E,1965
158,41,13,78,#9E290D,1965
186,137,76,94,#BA894C,1965
174,186,158,108,#AEBA9E,1965
211,214,182,109,#D3D6B6,1965
30,45,23,119,#1E2D17,1965
206,230,42,7,#CEE62A,1966
53,69,82,40,#354552,1966
55,114,135,41,#377287,1966
171,229,121,64,#ABE579,1966
95,182,101,66,#5FB665,1966
71,138,36,68,#478A24,1966
